Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;ödp Erststimmen;ödp Zweitstimmen;BüSo Erststimmen;BüSo Zweitstimmen;PBC Erststimmen;PBC Zweitstimmen;Die Tierschutzpartei Erststimmen;Die Tierschutzpartei Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;BGD Erststimmen;BGD Zweitstimmen;AUF Erststimmen;AUF Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;ddp Erststimmen;ddp Zweitstimmen;Freie Union Erststimmen;Freie Union Zweitstimmen;RENTNER Erststimmen;RENTNER Zweitstimmen;pro NRW Erststimmen;pro NRW Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;FBI/ Freie Wähler Erststimmen;FBI/ Freie Wähler Zweitstimmen;UAP Erststimmen;UAP Zweitstimmen;ÖkoLinX Erststimmen;ÖkoLinX Zweitstimmen;LD Erststimmen;LD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;DP Erststimmen;DP Zweitstimmen;Westfalen Erststimmen;Westfalen Zweitstimmen;SG - NRW Erststimmen;SG - NRW Zweitstimmen;Soziale Mitte Erststimmen;Soziale Mitte Zweitstimmen;Einzelbewerber / -innen Erststimmen;Einzelbewerber / -innen Zweitstimmen
21;Rheinisch-Bergischer Kreis I;104046;67871;985;772;66886;67099;27542;24183;23450;19373;8404;10782;3249;5698;-;214;2996;3257;-;106;-;93;-;24;-;56;-;377;-;236;-;74;-;27;-;4;-;41;-;813;-;19;-;13;-;331;1055;1122;-;65;-;64;-;76;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-
22;Rheinisch-Bergischer Kreis II;111287;72834;1063;944;71771;71890;32640;27495;22501;20082;7405;9361;4098;7057;-;287;2972;3174;-;128;-;74;345;96;-;136;-;446;-;279;-;89;-;34;-;12;-;40;-;902;-;19;-;7;-;317;1529;1604;-;68;-;44;-;85;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281;-;-;-
23;Oberbergischer Kreis I;111697;65250;1211;1054;64039;64196;30269;25923;20875;18435;5121;7230;2990;5054;-;270;2992;3128;-;145;649;196;-;11;-;217;-;408;-;305;-;82;-;36;-;6;-;33;-;666;-;8;-;15;-;291;1143;1483;-;44;-;82;-;78;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
24;Oberbergischer Kreis II;99479;55104;1122;956;53982;54148;22784;20382;21231;17751;4147;5701;2296;3873;-;304;2645;2894;-;119;-;100;-;9;-;251;-;338;-;284;-;36;-;22;-;6;-;66;-;505;-;7;-;10;-;267;879;957;-;50;-;59;-;89;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
25;Rhein-Sieg-Kreis I;122097;73288;1287;1123;72001;72165;30069;26150;21280;20473;10384;10629;4495;6703;-;557;3558;3732;-;134;-;69;-;16;-;153;-;525;-;285;-;114;-;43;-;1;-;26;903;977;-;9;-;13;-;231;810;764;-;75;-;43;502;387;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26;Rhein-Sieg-Kreis II;90696;56764;856;721;55908;56043;24127;21991;17867;15065;6675;7885;4123;5558;-;255;2117;2263;-;67;-;39;-;4;-;85;-;320;-;183;-;65;-;27;-;2;-;10;-;980;-;5;-;12;-;212;623;661;-;60;-;91;229;156;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-
27;Rhein-Sieg-Kreis III;120902;76458;1225;1073;75233;75385;33962;31054;19864;18722;8805;9791;7343;8110;-;376;2521;2729;-;78;-;73;-;14;-;92;-;449;-;267;-;76;-;31;-;2;-;30;1091;1287;-;14;-;23;-;203;1296;1468;-;94;-;103;351;235;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28;Rhein-Sieg-Kreis IV;109597;62879;964;875;61915;62004;25821;23137;21015;18467;6762;8190;3312;4977;-;421;2804;3030;-;116;-;44;-;28;-;95;-;362;-;264;-;71;-;36;-;2;-;19;994;1179;-;13;-;6;-;226;802;814;-;58;-;115;405;299;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
29;Bonn I;110722;69240;950;780;68290;68460;22787;20666;27181;19319;8532;13862;3543;5745;-;160;2708;3852;-;73;-;62;128;48;-;67;-;277;-;150;-;118;-;47;-;7;-;15;1743;1830;-;15;-;7;-;171;1133;1126;-;140;535;612;-;50;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
30;Bonn II;107734;71920;928;782;70992;71138;27331;24732;23122;18229;8417;12492;6005;7525;-;180;2343;3145;-;64;-;62;127;42;-;84;-;274;-;148;-;104;-;39;-;5;-;18;1508;1486;-;6;-;7;-;149;1471;1472;-;95;668;698;-;46;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31;Wuppertal I;83999;45833;849;782;44984;45051;14218;12855;19196;16149;3707;5616;2072;2907;485;414;3219;3514;453;373;-;41;-;10;-;109;-;301;-;185;-;37;-;18;-;4;-;19;723;869;-;4;-;5;-;244;911;1152;-;60;-;93;-;41;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
32;Wuppertal II;91164;52370;827;728;51543;51642;15558;14033;21103;17937;6060;7833;2241;3258;349;324;4052;4546;422;331;-;57;-;8;-;68;-;314;-;163;-;132;-;23;-;6;-;19;915;1067;-;5;-;6;-;244;843;975;-;71;-;139;-;48;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
33;Wuppertal III - Solingen II;88161;53155;809;677;52346;52478;17647;15469;20407;17690;5810;7719;2524;3781;-;294;3485;3738;-;273;-;59;-;16;-;53;-;302;-;173;-;73;-;21;-;7;-;18;963;959;-;9;-;6;-;245;1510;1351;-;38;-;112;-;41;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
34;Solingen I;100369;58027;899;774;57128;57253;20707;18236;20383;18422;6574;7192;3164;4781;-;284;3462;3902;-;126;-;84;-;30;-;69;-;395;-;236;-;64;-;18;-;5;-;25;1024;1013;-;13;-;23;-;272;1814;1801;-;49;-;120;-;50;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
35;Remscheid;81021;44915;820;711;44095;44204;14924;14357;17837;15000;3459;4666;2995;3422;-;260;2727;2889;-;160;-;44;-;8;-;36;-;295;-;157;-;46;-;28;-;11;-;18;530;663;-;7;-;8;-;213;1623;1577;-;43;-;218;-;48;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
36;Mettmann I;103370;62736;1090;789;61646;61947;26932;22902;21220;18685;7332;8181;2855;4570;-;343;3307;3081;-;318;-;52;-;20;-;65;-;418;-;314;-;49;-;33;-;9;-;34;-;904;-;26;-;11;-;431;-;1211;-;58;-;101;-;69;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
37;Mettmann II;91999;58161;900;730;57261;57431;23364;20410;20067;17393;6845;8151;3213;5118;755;397;2583;2713;-;200;-;45;-;14;-;74;-;361;-;224;-;39;-;30;-;5;-;32;-;882;-;10;-;5;-;371;-;736;-;38;-;58;-;68;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;434;-
38;Mettmann III;89247;56086;845;607;55241;55479;24662;21690;18808;16457;6057;6792;3111;4975;-;273;2603;2450;-;245;-;27;-;13;-;36;-;348;-;197;-;53;-;30;-;3;-;21;-;785;-;10;-;10;-;297;-;549;-;45;-;91;-;33;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
39;Mettmann IV;88569;53689;1273;858;52416;52831;21162;17784;20570;18642;5142;5646;2577;3878;-;492;2965;3138;-;216;-;46;-;19;-;91;-;364;-;263;-;65;-;33;-;5;-;42;-;716;-;14;-;14;-;330;-;757;-;40;-;143;-;58;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
40;Düsseldorf I;117570;73960;781;691;73179;73269;31280;26979;23393;20243;8331;10834;4165;7432;-;238;3140;3786;580;489;-;39;90;35;-;35;-;292;-;152;-;118;-;41;15;5;-;20;1373;1317;-;8;-;12;-;267;674;587;-;89;138;154;-;61;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
41;Düsseldorf II;98909;58714;690;609;58024;58105;22461;19530;20285;17578;7310;9126;2338;4518;-;197;3317;3804;600;482;-;49;136;41;-;45;-;308;-;126;-;110;-;54;-;3;-;20;954;1037;-;5;-;7;-;223;523;526;-;85;-;161;-;33;-;37;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-
42;Düsseldorf III;102521;64171;680;576;63491;63595;24889;21311;21750;17465;8326;11448;2744;5729;-;195;3518;3995;478;394;-;42;-;16;-;26;-;324;-;108;-;104;-;48;-;7;-;21;1105;1276;-;10;-;12;-;203;485;468;196;166;-;158;-;39;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
43;Düsseldorf IV;93910;55417;761;698;54656;54719;22084;19679;20259;17247;4396;6588;2148;4031;-;220;2908;3349;739;637;-;29;75;47;-;45;-;257;-;145;174;79;-;23;-;5;-;23;821;856;-;7;-;9;-;273;798;768;-;41;254;294;-;37;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
44;Rhein-Kreis Neuss I;109601;62782;895;799;61887;61983;28241;24618;19501;16592;5190;7497;2663;5448;-;319;2567;2876;-;225;-;41;-;8;-;31;585;544;389;350;-;88;392;351;-;6;-;29;1218;1278;-;4;-;9;-;311;1141;1081;-;49;-;153;-;50;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
45;Rhein-Kreis Neuss II;104018;62123;1102;1074;61021;61049;26700;24262;21093;18820;3850;5385;2811;4512;-;446;2340;2490;-;151;-;41;-;25;-;27;-;427;573;407;-;58;810;697;-;7;-;26;883;868;-;7;-;5;-;262;1961;1918;-;36;-;82;-;41;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
46;Rhein-Kreis Neuss III;117699;78994;1163;1052;77831;77942;38877;33443;20012;18949;8367;9065;4070;8638;-;294;2605;2882;-;176;-;46;-;15;-;42;-;440;884;625;-;78;704;540;-;9;-;35;1291;1255;-;7;-;17;-;276;1021;889;-;49;-;52;-;69;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
47;Krefeld I;81410;42253;625;569;41628;41684;14690;13135;17080;13980;4263;5662;1953;3082;518;376;2650;2997;-;60;-;27;175;59;-;35;-;287;-;180;299;135;-;27;-;5;-;19;-;603;-;12;-;16;-;215;-;515;-;39;-;155;-;29;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48;Krefeld II;86442;52457;827;602;51630;51855;21445;18793;18942;16355;5202;6591;3250;4715;-;296;2405;2454;-;111;-;29;386;62;-;36;-;339;-;218;-;78;-;30;-;6;-;20;-;597;-;12;-;14;-;263;-;628;-;47;-;61;-;49;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
49;Mönchengladbach I;103049;51782;800;670;50982;51112;19530;18469;18735;16116;5014;5833;2634;3748;803;596;3095;3400;-;74;-;31;-;6;-;44;-;303;-;170;-;49;324;215;-;3;-;14;847;775;-;6;-;7;-;261;-;709;-;41;-;148;-;35;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
50;Mönchengladbach II;91117;48597;842;684;47755;47913;22550;19972;14389;12975;4185;5193;2752;4082;-;334;2408;2600;-;99;-;34;-;7;-;29;-;288;-;163;-;44;461;210;-;7;-;18;1010;789;-;12;-;10;-;232;-;615;-;55;-;66;-;43;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
51;Viersen I;110160;64317;1089;829;63228;63488;29422;26175;19756;17507;6305;7349;3539;5461;-;507;3287;3306;-;146;-;35;-;10;-;47;-;422;919;457;-;73;-;73;-;5;-;39;-;802;-;14;-;10;-;305;-;552;-;43;-;64;-;55;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
52;Viersen II;117377;71398;1346;1013;70052;70385;31712;28429;22733;19707;6604;7946;5400;6887;-;523;3603;3396;-;163;-;52;-;14;-;84;-;521;-;358;-;73;-;53;-;6;-;43;-;830;-;11;-;15;-;378;-;628;-;47;-;59;-;61;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
53;Kleve I;113069;68862;1075;920;67787;67942;34288;31509;19822;18239;5818;6375;4036;5557;-;405;2603;2714;-;114;-;64;-;18;-;43;-;439;-;291;-;82;-;31;-;3;-;24;972;1118;-;24;-;16;-;283;-;390;-;43;-;20;-;56;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;-
54;Kleve II;112818;63660;1102;952;62558;62708;29047;26670;20583;19227;5899;6432;3457;4587;-;388;2780;2803;-;125;-;65;-;10;-;50;-;374;-;255;-;47;-;28;-;3;-;29;792;817;-;16;-;6;-;298;-;341;-;47;-;25;-;29;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
55;Oberhausen I;93688;50881;799;699;50082;50182;12628;11702;26378;24385;4039;4679;1424;1863;1118;686;3701;3819;-;139;-;27;-;6;-;17;-;425;-;203;-;78;-;36;-;3;-;22;794;864;-;8;-;22;-;273;-;738;-;44;-;76;-;39;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
56;Oberhausen II - Wesel I;117487;71633;972;855;70661;70778;20300;18386;35984;32770;6168;7547;2569;3180;1233;675;4407;4287;-;180;-;47;-;13;-;32;-;449;-;298;-;84;-;51;-;7;-;35;-;926;-;16;-;6;-;403;-;1079;-;63;-;155;-;50;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
57;Wesel II;98129;61015;1056;811;59959;60204;23339;20872;25716;22974;5100;6135;2495;3590;-;373;3309;3257;-;188;-;32;-;15;-;32;-;372;-;238;-;58;-;44;-;2;-;34;-;903;-;14;-;17;-;310;-;505;-;66;-;36;-;41;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
58;Wesel III;120614;75177;946;806;74231;74371;29319;25726;29948;28181;6166;7308;2627;4734;-;372;3508;3768;-;149;-;43;-;13;-;45;-;349;611;454;-;72;-;21;-;4;-;30;1350;1181;-;10;-;12;702;636;-;1048;-;67;-;36;-;53;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
59;Wesel IV;89652;54663;1010;671;53653;53992;16980;14650;24458;24012;5228;5354;2403;3051;-;356;3565;3272;-;187;-;28;-;19;-;50;-;369;-;186;-;73;-;24;-;6;-;31;1019;986;-;9;-;10;-;337;-;767;-;29;-;77;-;49;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
60;Duisburg I;101403;62771;879;728;61892;62043;19282;17214;27400;25545;6301;7168;1752;2690;-;338;4172;4277;-;215;-;37;184;51;-;40;942;656;-;226;-;86;-;36;-;12;-;27;-;990;-;9;-;13;-;341;1859;1821;-;46;-;129;-;42;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
61;Duisburg II;81912;47275;754;625;46521;46650;11894;11158;23572;21254;3169;4346;1612;2111;-;307;3438;3328;-;155;-;30;154;47;-;29;787;539;-;170;-;126;-;45;-;6;-;20;-;580;-;9;-;15;-;272;1895;1879;-;24;-;140;-;30;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
62;Duisburg III;78693;36744;660;679;36084;36065;8355;7657;18504;16515;2158;3210;900;1249;-;405;3668;3631;-;136;-;21;110;42;-;38;630;404;-;120;-;72;-;33;-;7;-;18;-;559;-;8;-;4;-;217;1539;1377;-;25;173;273;-;19;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-
63;Duisburg IV;82146;39875;752;628;39123;39247;9091;8302;20832;19218;2479;2797;787;1192;-;438;3314;3421;-;167;-;16;-;15;-;23;571;404;-;130;-;63;-;70;-;9;-;21;-;432;-;10;-;6;-;311;2049;1821;-;22;-;307;-;22;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
64;Mülheim I;123867;79733;1192;947;78541;78786;24612;22598;38751;32173;6643;9974;2924;4682;-;593;4148;4514;-;212;-;53;-;31;-;55;-;588;-;344;-;85;-;40;-;8;-;42;1463;1482;-;7;-;13;-;225;-;856;-;47;-;64;-;54;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
65;Essen I - Mülheim II;109024;59404;1179;891;58225;58513;16159;14865;30377;27668;4010;4958;1544;2491;1009;824;3495;3895;-;290;-;27;298;99;-;36;-;422;-;240;-;62;-;28;-;3;-;32;-;745;-;12;-;12;-;373;1333;1145;-;64;-;120;-;69;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
66;Essen II;104235;55632;1069;798;54563;54834;15348;14388;27387;24627;3802;5087;1802;2291;707;644;3919;4082;-;268;-;46;285;113;-;40;-;417;-;225;-;72;-;32;-;4;-;31;-;690;-;16;-;10;-;341;1313;1155;-;33;-;135;-;58;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
